"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"  RF"	"  RF"	"AUROC"	"BACE"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUROC"	"BACE"	"scaffold"	0.000603610841366096	"ranksums"	"<0.05"
"  RF"	"GROVER"	"AUROC"	"BACE"	"scaffold"	8.40120173049148e-05	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"AUROC"	"BACE"	"scaffold"	0.00341901044855435	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"AUROC"	"BACE"	"scaffold"	0.000603610841366096	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"AUROC"	"BACE"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUROC"	"BACE"	"scaffold"	0.131551611214182	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"AUROC"	"BACE"	"scaffold"	0.859183914274438	"ranksums"	">=0.05"
"GROVER"	"  RF"	"AUROC"	"BACE"	"scaffold"	8.40120173049148e-05	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"AUROC"	"BACE"	"scaffold"	0.131551611214182	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUROC"	"BACE"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUROC"	"BACE"	"scaffold"	0.127809796539373	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"AUROC"	"BACE"	"scaffold"	0.00341901044855435	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"AUROC"	"BACE"	"scaffold"	0.859183914274438	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"AUROC"	"BACE"	"scaffold"	0.127809796539373	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"AUROC"	"BACE"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"AUPRC"	"BACE"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUPRC"	"BACE"	"scaffold"	0.0459450883468834	"ranksums"	"<0.05"
"  RF"	"GROVER"	"AUPRC"	"BACE"	"scaffold"	0.0105365252586533	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"AUPRC"	"BACE"	"scaffold"	0.0384692450879587	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"AUPRC"	"BACE"	"scaffold"	0.0459450883468834	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"AUPRC"	"BACE"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUPRC"	"BACE"	"scaffold"	0.442017913975686	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"AUPRC"	"BACE"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"  RF"	"AUPRC"	"BACE"	"scaffold"	0.0105365252586533	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"AUPRC"	"BACE"	"scaffold"	0.442017913975686	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUPRC"	"BACE"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUPRC"	"BACE"	"scaffold"	0.477919704209092	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"AUPRC"	"BACE"	"scaffold"	0.0384692450879587	"ranksums"	"<0.05"
