"corr_coef"	"p_value"	"mol_prop"	"desc_name"
0.274612905814227	0.000342949858377741	"A2a"	"MolWt"
-0.109200995682314	0.161358579867706	"A2a"	"MolLogP"
-0.113096237872564	0.146837964670576	"A2a"	"NumHDonors"
0.348868400300608	4.0959325429426e-06	"A2a"	"NumHAcceptors"
-0.149212306014676	0.0550230092854858	"A2a"	"NumRotatableBonds"
0.315138308435553	3.54236934562386e-05	"A2a"	"NumAtoms"
0.218263859162051	3.34260082101798e-07	"ABL1"	"MolWt"
0.230070289357626	7.18424728610308e-08	"ABL1"	"MolLogP"
0.0722710209807984	0.0946278700577582	"ABL1"	"NumHDonors"
-0.0654270169813997	0.130322869903746	"ABL1"	"NumHAcceptors"
-0.000966562847759559	0.98218845909862	"ABL1"	"NumRotatableBonds"
0.185478099096485	1.54861250243678e-05	"ABL1"	"NumAtoms"
0.163295918783649	2.38196674914406e-16	"Acetylcholinesterase"	"MolWt"
0.166812616808663	5.28353727841777e-17	"Acetylcholinesterase"	"MolLogP"
0.0730922942241037	0.000261136119699654	"Acetylcholinesterase"	"NumHDonors"
0.0142863596561283	0.476025515431125	"Acetylcholinesterase"	"NumHAcceptors"
0.165851366948638	8.00046057489487e-17	"Acetylcholinesterase"	"NumRotatableBonds"
0.158859737293226	1.5189824034137e-15	"Acetylcholinesterase"	"NumAtoms"
0.366655685269711	1.8120475284833e-52	"Aurora-A"	"MolWt"
0.0925599519858197	0.000198149281855366	"Aurora-A"	"MolLogP"
0.311511210254024	1.30605945215503e-37	"Aurora-A"	"NumHDonors"
0.157901463716014	1.8318716720852e-10	"Aurora-A"	"NumHAcceptors"
0.339090970377839	1.15416095299639e-44	"Aurora-A"	"NumRotatableBonds"
0.379347883896707	2.50084491352375e-56	"Aurora-A"	"NumAtoms"
0.292753257551378	9.52817601177449e-18	"B-raf"	"MolWt"
0.216924513927776	3.12337115914749e-10	"B-raf"	"MolLogP"
0.00937098599140141	0.788241015447327	"B-raf"	"NumHDonors"
0.131243031295305	0.000158081679548552	"B-raf"	"NumHAcceptors"
0.0349216151168357	0.316719213994643	"B-raf"	"NumRotatableBonds"
0.300761852113011	1.08947255933979e-18	"B-raf"	"NumAtoms"
-0.0942002853913069	0.000746833852162286	"COX-1"	"MolWt"
0.0934106945614141	0.000827598898462207	"COX-1"	"MolLogP"
0.00704827723976081	0.801252614251308	"COX-1"	"NumHDonors"
-0.140698104466524	4.41688552112942e-07	"COX-1"	"NumHAcceptors"
-0.0573055146055638	0.0405305393424112	"COX-1"	"NumRotatableBonds"
-0.111016118060524	6.97476504311574e-05	"COX-1"	"NumAtoms"
0.152123406076872	1.81920383629914e-15	"COX-2"	"MolWt"
0.191210259927889	1.11356455869869e-23	"COX-2"	"MolLogP"
-0.159775356707168	6.36695433561606e-17	"COX-2"	"NumHDonors"
-0.156609095939288	2.60156117785508e-16	"COX-2"	"NumHAcceptors"
-0.118747760746767	5.86730254624942e-10	"COX-2"	"NumRotatableBonds"
0.0808678411361492	2.5528045629974e-05	"COX-2"	"NumAtoms"
0.470979193069848	1.66731340285187e-46	"Cannabinoid"	"MolWt"
0.464948281620249	3.24572150950991e-45	"Cannabinoid"	"MolLogP"
0.0522329845923824	0.135054480843466	"Cannabinoid"	"NumHDonors"
-0.0496622704476237	0.15536955846621	"Cannabinoid"	"NumHAcceptors"
0.160300882397348	3.96554381175391e-06	"Cannabinoid"	"NumRotatableBonds"
0.44103711534276	2.37994982044842e-40	"Cannabinoid"	"NumAtoms"
0.287132546595777	5.16047686515264e-12	"Carbonic"	"MolWt"
-0.0610178284070698	0.150752021562181	"Carbonic"	"MolLogP"
-0.140273491891528	0.000911303615852317	"Carbonic"	"NumHDonors"
0.509986198912861	3.83224739740513e-38	"Carbonic"	"NumHAcceptors"
0.228791953900039	4.89135433195735e-08	"Carbonic"	"NumRotatableBonds"
0.192223531406756	4.99488348878275e-06	"Carbonic"	"NumAtoms"
0.484545448047186	4.18561634948081e-81	"Caspase"	"MolWt"
-0.486555934907667	7.337082696441e-82	"Caspase"	"MolLogP"
0.111337929404984	3.82184149987835e-05	"Caspase"	"NumHDonors"
0.394072364122181	7.90552650231248e-52	"Caspase"	"NumHAcceptors"
0.415848889203631	4.39824090837466e-58	"Caspase"	"NumRotatableBonds"
0.479007419323208	4.7749658431278e-79	"Caspase"	"NumAtoms"
0.105637124668986	0.00189840989700992	"Coagulation"	"MolWt"
-0.134454690699903	7.50021801252135e-05	"Coagulation"	"MolLogP"
0.0496192915358208	0.145504056526819	"Coagulation"	"NumHDonors"
0.150746904810102	8.79302097396245e-06	"Coagulation"	"NumHAcceptors"
0.0678080329024661	0.0465650620406569	"Coagulation"	"NumRotatableBonds"
0.0995047139014988	0.00345050533141178	"Coagulation"	"NumAtoms"
0.168323098231681	7.50654554184548e-05	"Dihydrofolate"	"MolWt"
-0.111929293834705	0.00872975894725688	"Dihydrofolate"	"MolLogP"
0.208338204925082	8.65334169261444e-07	"Dihydrofolate"	"NumHDonors"
0.220167977846806	1.92696021991219e-07	"Dihydrofolate"	"NumHAcceptors"
0.0950421549279682	0.0260921297037693	"Dihydrofolate"	"NumRotatableBonds"
0.165311851028904	0.00010115896442019	"Dihydrofolate"	"NumAtoms"
0.0425021964590874	0.393613804636711	"Dopamine"	"MolWt"
0.00463659567669896	0.925886254077405	"Dopamine"	"MolLogP"
-0.144684014088938	0.00352195196655071	"Dopamine"	"NumHDonors"
-0.0976430987906266	0.0495706460293619	"Dopamine"	"NumHAcceptors"
0.0229858491765983	0.644646167612247	"Dopamine"	"NumRotatableBonds"
-0.0536727898480103	0.28122015252812	"Dopamine"	"NumAtoms"
0.0434954675898039	0.0716519513506344	"Ephrin"	"MolWt"
-0.162407703027298	1.30796736849854e-11	"Ephrin"	"MolLogP"
0.113129006721402	2.62719980305157e-06	"Ephrin"	"NumHDonors"
0.085449389886784	0.000394684551288144	"Ephrin"	"NumHAcceptors"
0.0408015182648751	0.0910930584434285	"Ephrin"	"NumRotatableBonds"
0.0298241769776282	0.216893807124231	"Ephrin"	"NumAtoms"
0.374670271809771	1.04153334936373e-52	"Estrogen"	"MolWt"
0.60896388580506	1.47110089380929e-157	"Estrogen"	"MolLogP"
0.17579946494543	3.37905253921846e-12	"Estrogen"	"NumHDonors"
-0.121884561881358	1.53627806847135e-06	"Estrogen"	"NumHAcceptors"
0.235905108062868	5.40003964489013e-21	"Estrogen"	"NumRotatableBonds"
0.408751854250071	2.51889913985424e-63	"Estrogen"	"NumAtoms"
0.349194599050781	3.05701119843016e-32	"Glucocorticoid"	"MolWt"
0.145655239885727	1.5855750139372e-06	"Glucocorticoid"	"MolLogP"
0.326850798114243	3.12746828589085e-28	"Glucocorticoid"	"NumHDonors"
0.162526471146517	8.17402437042709e-08	"Glucocorticoid"	"NumHAcceptors"
0.0239677423391365	0.432005100120287	"Glucocorticoid"	"NumRotatableBonds"
0.38235869392221	8.04953734775788e-39	"Glucocorticoid"	"NumAtoms"
0.285403442555159	2.17185600864978e-32	"Glycogen"	"MolWt"
-0.00376851971437169	0.878244921522239	"Glycogen"	"MolLogP"
0.140580145619615	9.28712331640983e-09	"Glycogen"	"NumHDonors"
0.202184059285756	9.99148628231531e-17	"Glycogen"	"NumHAcceptors"
0.0785314925197842	0.00138711494947563	"Glycogen"	"NumRotatableBonds"
0.304594083445192	7.19335297740388e-37	"Glycogen"	"NumAtoms"
0.0149709213572126	0.341319623849694	"HERG"	"MolWt"
0.275553816080803	2.40517885479406e-71	"HERG"	"MolLogP"
-0.121659604156223	8.41488583104787e-15	"HERG"	"NumHDonors"
-0.133287734054994	1.74882863247998e-17	"HERG"	"NumHAcceptors"
0.149074756205992	1.60284001504156e-21	"HERG"	"NumRotatableBonds"
0.0136583416098821	0.38532615595952	"HERG"	"NumAtoms"
0.341896592018718	9.02192658728899e-63	"JAK2"	"MolWt"
-0.0547332000055841	0.0093800560441755	"JAK2"	"MolLogP"
0.150585841156078	6.81405248380681e-13	"JAK2"	"NumHDonors"
0.291216506198959	2.89251173430806e-45	"JAK2"	"NumHAcceptors"
0.191701593163222	4.41476161227289e-20	"JAK2"	"NumRotatableBonds"
0.325694399964743	8.39637301231979e-57	"JAK2"	"NumAtoms"
0.320253794336675	3.41290428124895e-24	"LCK"	"MolWt"
0.32287424990478	1.38383264672389e-24	"LCK"	"MolLogP"
-0.0239763643194403	0.459487658675131	"LCK"	"NumHDonors"
0.204135298226638	1.96608491411769e-10	"LCK"	"NumHAcceptors"
0.148022300623706	4.40559749603466e-06	"LCK"	"NumRotatableBonds"
0.301999396651789	1.4393630363934e-21	"LCK"	"NumAtoms"
0.00290197154751012	0.915352845876405	"Monoamine"	"MolWt"
-0.0103806919969359	0.703783152386753	"Monoamine"	"MolLogP"
-0.0445235508347152	0.102774175474725	"Monoamine"	"NumHDonors"
-0.0929345202221047	0.000646656813620504	"Monoamine"	"NumHAcceptors"
0.0346813257034858	0.203857597312689	"Monoamine"	"NumRotatableBonds"
0.0432834033464329	0.112725101411768	"Monoamine"	"NumAtoms"
0.166599328301163	9.09538801525338e-12	"Vanilloid"	"MolWt"
0.25365138426028	1.03328107259947e-25	"Vanilloid"	"MolLogP"
0.107371342471113	1.20099470816124e-05	"Vanilloid"	"NumHDonors"
0.00682778723295417	0.781350677989231	"Vanilloid"	"NumHAcceptors"
-0.196125393499922	8.21229505746514e-16	"Vanilloid"	"NumRotatableBonds"
0.165178514757283	1.36894280337165e-11	"Vanilloid"	"NumAtoms"
0.253227712885383	9.31187798674863e-54	"erbB1"	"MolWt"
0.127451212184123	1.6723026952286e-14	"erbB1"	"MolLogP"
0.0515910167526924	0.00196423587463609	"erbB1"	"NumHDonors"
0.202277805971242	1.5604986229622e-34	"erbB1"	"NumHAcceptors"
0.222882904034605	9.6896393505878e-42	"erbB1"	"NumRotatableBonds"
