"prevalence"	"func_groups"	"mol_prop"
97.8488536654401	"fr_benzene"	"MOR"
93.8579111236909	"fr_NH0"	"MOR"
66.4590999150863	"fr_C_O"	"MOR"
59.0150014152279	"fr_Ndealkylation2"	"MOR"
55.9298046985565	"fr_amide"	"MOR"
45.6835550523634	"fr_NH1"	"MOR"
37.4752335125955	"fr_ether"	"MOR"
31.5595810925559	"fr_Ar_N"	"MOR"
31.191621851118	"fr_Ar_OH"	"MOR"
30.7953580526465	"fr_halogen"	"MOR"
29.9179167846023	"fr_phenol"	"MOR"
23.6343051231248	"fr_NH2"	"MOR"
23.5210868949901	"fr_aniline"	"MOR"
23.2380413246533	"fr_Al_OH"	"MOR"
19.1338805547693	"fr_aryl_methyl"	"MOR"
16.5015567506369	"fr_methoxy"	"MOR"
14.3787149731107	"fr_priamide"	"MOR"
13.1333144636286	"fr_Ndealkylation1"	"MOR"
10.8972544579677	"fr_unbrch_alkane"	"MOR"
10.0481177469573	"fr_COO"	"MOR"
98.6348122866894	"fr_benzene"	"DOR"
93.8566552901024	"fr_NH0"	"DOR"
67.3285758609991	"fr_C_O"	"DOR"
62.7676078188024	"fr_Ndealkylation2"	"DOR"
55.6313993174061	"fr_amide"	"DOR"
46.819733167856	"fr_NH1"	"DOR"
45.6717344089358	"fr_Ar_OH"	"DOR"
45.2063295066708	"fr_phenol"	"DOR"
38.8147688488985	"fr_ether"	"DOR"
27.9242941358982	"fr_NH2"	"DOR"
26.9934843313683	"fr_Ar_N"	"DOR"
24.8836487744338	"fr_halogen"	"DOR"
24.4182438721688	"fr_Al_OH"	"DOR"
21.439652497673	"fr_aniline"	"DOR"
16.0719826248836	"fr_priamide"	"DOR"
14.7378219050574	"fr_methoxy"	"DOR"
13.9000930809805	"fr_aryl_methyl"	"DOR"
13.8380390940118	"fr_Ndealkylation1"	"DOR"
13.7759851070431	"fr_COO"	"DOR"
12.5349053676699	"fr_unbrch_alkane"	"DOR"
95.009019843656	"fr_benzene"	"KOR"
91.7318099819603	"fr_NH0"	"KOR"
66.5063138905592	"fr_C_O"	"KOR"
